date,id,ref
2025-07-24,6179,27.3
2025-07-24,6290,100
2025-07-24,6527,86.35
2025-07-24,6609,41.48
2025-07-24,6742,54.19
2025-07-24,6863,154.5
2025-07-24,7747,134.05
2025-07-24,8069,211.01
2025-07-24,8404,20.14
2025-07-24,8927,42.39
2025-07-24,9925,39.85
2025-07-25,1519,590.9
2025-07-25,1558,98
2025-07-25,2495,22.15
2025-07-25,2548,98.09
2025-07-25,5439,246.3
2025-07-25,6165,52
2025-07-25,6189,62.5
2025-07-25,6277,58.3
2025-07-25,6451,144.64
2025-07-25,6517,69.2
2025-07-25,6664,223.07
2025-07-25,6958,20.97
2025-07-25,8249,51.48
2025-07-25,8390,62.1
2025-07-25,9937,64.8
2025-07-28,2247,320
2025-07-28,2462,23.59
2025-07-28,3306,38.85
2025-07-28,4107,113
2025-07-28,4572,159.17
2025-07-28,4916,46.77
2025-07-28,4919,69.8
2025-07-28,5425,47.58
2025-07-28,6873,192.19
2025-07-28,6909,44.9
2025-07-29,1410,34.64
2025-07-29,1449,12.93
2025-07-29,2729,201.92
2025-07-29,2889,15.11
2025-07-29,3131,1488
2025-07-29,3527,64.9
2025-07-29,3537,43.3
2025-07-29,4549,130.9
2025-07-29,4580,77
2025-07-29,4911,48
2025-07-29,5426,24.55
2025-07-29,6411,66.42
2025-07-29,6931,49.92
2025-07-29,6962,49.6
2025-07-29,7734,1065.08
2025-07-29,8916,48.21
2025-07-30,1570,22.6
2025-07-30,2233,172
2025-07-30,2345,841
2025-07-30,2363,55.1
2025-07-30,2376,272.5
2025-07-30,2497,39
2025-07-30,2528,27.42
2025-07-30,2596,30.05
2025-07-30,3312,45.7
2025-07-30,3454,104.2
2025-07-30,3531,22.75
2025-07-30,4205,86.91
2025-07-30,4305,45.55
2025-07-30,4401,15.45
2025-07-30,4439,90
2025-07-30,4560,34
2025-07-30,5410,27.25
2025-07-30,5457,42
2025-07-30,5607,43.23
2025-07-30,5871,118.03
2025-07-30,6114,35.75
2025-07-30,6171,33.1
2025-07-30,6416,84.4
2025-07-30,6591,64.75
2025-07-30,6689,79.1
2025-07-30,6728,153
2025-07-30,8931,50.8
2025-07-30,9908,30.05
2025-07-31,1216,79.7
2025-07-31,1294,74.4
2025-07-31,1437,31.25
2025-07-31,1736,151.5
2025-07-31,2342,21.25
2025-07-31,2351,76.3
2025-07-31,2393,71.69
2025-07-31,2538,12.85
2025-07-31,2755,138.53
2025-07-31,2801,18.52
2025-07-31,2912,253.5
2025-07-31,3088,85.77
2025-07-31,3390,20.3
2025-07-31,3501,54.8
2025-07-31,3533,1428.27
2025-07-31,3672,16.15
2025-07-31,4106,21.8
2025-07-31,4581,52.3
2025-07-31,4767,30.8
2025-07-31,4942,36.85
2025-07-31,5450,13.85
2025-07-31,6138,170.4
2025-07-31,6161,41.05
2025-07-31,6239,132
2025-07-31,6294,47.45
2025-07-31,6715,110.58
2025-07-31,7708,93.6
2025-07-31,8213,32.27
2025-07-31,8272,78.6
2025-07-31,9942,110
2025-08-01,2402,39.12
2025-08-01,2597,155
2025-08-01,3520,13.95
2025-08-01,3689,95.48
2025-08-01,5438,22.3
2025-08-04,1439,29.55
2025-08-04,1527,37.05
2025-08-04,2369,14.55
2025-08-04,4728,408.4
2025-08-04,4768,115.71
2025-08-04,4912,77.23
2025-08-04,6016,10.48
2025-08-04,6201,59.5
2025-08-04,6472,689.28
2025-08-04,6743,29.75
2025-08-04,9938,49.9
2025-08-05,1464,12.5
2025-08-05,1727,32.2
2025-08-05,2331,18.03
2025-08-05,2409,11.69
2025-08-05,2427,29.8
2025-08-05,2520,43.27
2025-08-05,2546,76.69
2025-08-05,2834,15.14
2025-08-05,3051,24.63
2025-08-05,3289,126
2025-08-05,6177,41.23
2025-08-05,6275,42.14
2025-08-06,1720,55.4
2025-08-06,2375,58.5
2025-08-06,3376,224
2025-08-06,5263,91.96
2025-08-06,5903,199.5
2025-08-06,6220,21
2025-08-06,6997,101.5
2025-08-06,8478,203.5
2025-08-07,1713,47.6
2025-08-07,2033,15.8
2025-08-07,2886,41.4
2025-08-07,2892,29.07
2025-08-07,3056,23.14
2025-08-07,3152,116.91
2025-08-07,3287,34.95
2025-08-07,3516,20.3
2025-08-07,3663,60.1
2025-08-07,4569,152.28
2025-08-07,5206,33.27
2025-08-07,5258,70.68
2025-08-07,5288,131.48
2025-08-07,5525,30.7
2025-08-07,6417,96.1
2025-08-07,6435,96.2
2025-08-07,6662,32.3
2025-08-07,6855,134
2025-08-07,6869,134.99
2025-08-07,6874,83.66
2025-08-07,8466,27.25
